,State,Technology,Count
273,WY,Ring/Neighbors Partnership,3
274,DE,Automated License Plate Readers,3
275,MT,Ring/Neighbors Partnership,3
276,FL,Fusion Center,3
277,MO,Fusion Center,3
278,MO,Predictive Policing,3
279,CT,Camera Registry,3
280,IN,Gunshot Detection,3
281,LA,Camera Registry,3
282,AZ,Video Analytics,3
283,AK,Drones,3
284,AK,Ring/Neighbors Partnership,3
285,LA,Predictive Policing,3
286,LA,Gunshot Detection,2
287,PA,Cell-site Simulator,2
288,MA,Fusion Center,2
289,ND,Automated License Plate Readers,2
290,IL,Cell-site Simulator,2
291,IL,Fusion Center,2
292,IL,Predictive Policing,2
293,IL,Real-Time Crime Center,2
294,OH,Face Recognition,2
295,MA,Face Recognition,2
296,IN,Cell-site Simulator,2
297,IN,Predictive Policing,2
298,SC,Face Recognition,2
299,KS,Camera Registry,2
300,KS,Video Analytics,2
301,KY,Face Recognition,2
302,HI,Drones,2
303,Puerto Rico,Gunshot Detection,2
304,GA,Real-Time Crime Center,2
305,DE,Face Recognition,2
306,WY,Drones,2
307,WV,Automated License Plate Readers,2
308,WI,Fusion Center,2
309,WI,Face Recognition,2
310,WI,Cell-site Simulator,2
311,WA,Predictive Policing,2
312,AZ,Real-Time Crime Center,2
313,VT,Ring/Neighbors Partnership,2
314,VT,Drones,2
315,VA,Gunshot Detection,2
316,VA,Fusion Center,2
317,CO,Face Recognition,2
318,UT,Cell-site Simulator,2
319,CT,Video Analytics,2
320,US Virgin Islands,Gunshot Detection,2
321,TX,Video Analytics,2
322,MA,Real-Time Crime Center,2
323,MA,Predictive Policing,2
324,MO,Cell-site Simulator,2
325,MN,Video Analytics,2
326,ME,Predictive Policing,2
327,NM,Automated License Plate Readers,2
328,MN,Cell-site Simulator,2
329,MI,Real-Time Crime Center,2
330,NM,Face Recognition,2
331,MI,Gunshot Detection,2
332,NM,Real-Time Crime Center,2
333,MN,Real-Time Crime Center,2
334,NJ,Automated License Plate Readers,2
335,MI,Fusion Center,2
336,NC,Cell-site Simulator,2
337,MD,Gunshot Detection,2
338,NV,Fusion Center,2
339,DC,Cell-site Simulator,1
340,MT,Automated License Plate Readers,1
341,CO,Predictive Policing,1
342,CO,Gunshot Detection,1
343,CO,Fusion Center,1
344,NH,Camera Registry,1
345,MS,Fusion Center,1
346,VA,Predictive Policing,1
347,CO,Video Analytics,1
